FrameNumber,dx,dy,X,Y
11,-0.05,-0,0,0
21,-0.03,0.21,0,0
31,0.01,0.22,0,-0
41,0.01,0.15,-0,-0
51,-0.04,-0.05,-0,-0
61,-0.01,0.1,0,0
71,-0.01,-0.12,0,-0
81,-0.01,0.12,0,0
91,-0.04,-0.06,0,-0
101,0.03,-0.41,0,0
111,-0.02,0.09,-0,0
121,0.02,0.07,0,-0
131,0,0.22,-0,-0
141,0.01,-0.02,-0,-0
151,0.03,-0.02,-0,0
161,0.08,-0.07,-0,0
162,-0.09,0.2,-0,0
163,-0.07,0.02,0,-0
164,-0.01,0.01,0,-0
165,-0.02,0.23,0,-0
166,-0.07,-0.1,0,-0
167,-0,0.07,0,0
168,-0.07,0.11,0,-0
169,0.02,0.26,0,-0
170,-0,-0.13,-0,-0.01
171,-0,0,0,0
172,-0.03,0.11,0,0
173,-0,-0.27,0,-0
174,0.02,0.18,0,0.01
175,0.03,-0.03,-0,-0.01
176,-0.04,-0.15,-0,0
177,0.03,-0.01,0,0.01
178,0.01,-0.2,-0,0
179,0.05,0.04,-0,0.02
180,0.07,-0.03,-0.01,0
181,0.03,-0.13,-0.01,0
182,0.01,0.02,-0.01,0.02
183,0.04,0.07,-0,0
184,0,-0,-0.01,-0.01
185,0.04,-0.17,-0,-0
186,0.05,-0.11,-0.01,0.03
187,0.12,-0.21,-0.01,0.03
188,0.06,-0.06,-0.03,0.06
189,0.02,0.01,-0.03,0.04
190,-0.02,-0.09,-0.02,0.02
191,0.04,-0.07,-0,0.03
192,0.06,0.11,-0.01,0.04
193,0.09,-0.19,-0.03,-0.02
194,0.03,0.19,-0.05,0.06
195,0.06,-0.28,-0.04,-0.04
196,0.04,0.18,-0.05,0.1
197,-0.06,-0.38,-0.05,-0.02
198,0.01,0.2,-0.01,0.18
199,0.01,-0.2,-0.01,0.02
200,-0.02,0.21,-0.02,0.14
201,-0.01,0.05,0,-0.03
202,-0.04,-0.17,0.01,-0.06
203,-0.03,0.42,0.04,0.09
204,-0.02,-0.05,0.06,-0.31
205,0.02,0.14,0.09,-0.25
206,0,-0,0.07,-0.38
207,-0.04,0.09,0.06,-0.36
208,-0.07,0.17,0.1,-0.44
209,0.02,0,0.17,-0.6
210,-0.01,-0.12,0.15,-0.58
211,-0,0.17,0.15,-0.44
